City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,shimoda,34.6667,138.95,288.76,75,100,3.62,JP,1712098777
352,yelizovo,53.1873,158.3805,276.23,44,0,1.0,RU,1712098777
353,lorengau,-2.0226,147.2712,302.14,77,92,4.66,PG,1712098777
354,nishinoomote,30.7333,131.0,295.13,91,100,8.48,JP,1712098777
355,maracas,-13.4411,-40.4308,295.18,78,40,1.34,BR,1712098777
356,guerrero negro,27.9769,-114.0611,294.08,48,0,6.59,MX,1712098777
357,dzuunharaa,48.8523,106.4579,269.02,71,1,1.56,MN,1712098777
358,aromashevo,56.8602,68.6375,274.05,94,77,6.1,RU,1712098777
359,tindouf,27.6711,-8.1474,296.4,20,0,6.69,DZ,1712098777
360,boda,4.3189,17.4695,297.74,67,100,1.65,CF,1712098778
361,nova petropolis,-29.3764,-51.1144,292.4,89,85,0.9,BR,1712098778
362,alofi,-19.0595,-169.9187,303.09,74,75,7.2,NU,1712098778
363,penzance,50.1186,-5.5371,284.53,92,90,13.19,GB,1712098778
